Année;quantité
2000;2387
2001;3583
2002;3068
2003;1268
2004;3109
2005;4333
2006;1121
2007;2407
2008;1482
2009;928
2010;1183
2011;1249
2012;2124
2013;869
2014;3384
2015;626
2016;2000
2017;1797
2018;5593
2019;4242
2020;1870
2021;3471
